Country Code,Year,Size,Value,Unit,Main Activity Sector Name,Main Activity Code,Country,ETS information,Active Installation,Entities
SE,2019.0,All sizes,605005.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1 Freely allocated allowances,all entities,3.0
SE,2020.0,All sizes,182288.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,1.0
SE,2020.0,All sizes,649747.0,units,23 Metal ore roasting or sintering,23,Sweden,4. Total surrendered units,all entities,3.0
SE,2020.0,All sizes,5132004.0,units,24  Production of pig iron or steel,24,Sweden,4. Total surrendered units,all entities,14.0
SE,2021.0,All sizes,48388.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Sweden,2. Verified emissions,all entities,3.0
SE,2021.0,All sizes,770486.0,units,23 Metal ore roasting or sintering,23,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,3.0
SE,2021.0,All sizes,770486.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1 Freely allocated allowances,all entities,3.0
SE,2022.0,All sizes,46672.0,units,25 Production or processing of ferrous metals,25,Sweden,4. Total surrendered units,all entities,3.0
FI,,All sizes,33275786.0,units,24  Production of pig iron or steel,24,Finland,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,
FI,,All sizes,34247643.0,units,24  Production of pig iron or steel,24,Finland,1.1 Freely allocated allowances,all entities,
FI,,All sizes,29232.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Finland,2. Verified emissions,all entities,
FI,,All sizes,275117.0,units,25 Production or processing of ferrous metals,25,Finland,4. Total surrendered units,all entities,
FI,,All sizes,18025685.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Finland,2. Verified emissions,all entities,
FI,,All sizes,18025685.0,units,24  Production of pig iron or steel,24,Finland,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,
SE,2025.0,All sizes,134407.0,units,28 Production or processing of non-ferrous metals,28,Sweden,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,
SE,2025.0,All sizes,776000.0,units,23 Metal ore roasting or sintering,23,Sweden,1.1 Freely allocated allowances,all entities,
SE,,All sizes,21721923.0,units,24  Production of pig iron or steel,24,Sweden,1. Total allocated allowances (EUA or EUAA),all entities,
SE,,All sizes,273476.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Sweden,2.1 EU-ETS Verified Emission,all entities,
SE,,All sizes,339715.0,units,25 Production or processing of ferrous metals,25,Sweden,1.1 Freely allocated allowances,all entities,
SE,,All sizes,3087678.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,Sweden,2. Verified emissions,all entities,
SE,2019.0,All sizes,4457024.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Sweden,2. Verified emissions,all entities,14.0
SE,2019.0,All sizes,4465331.0,units,24  Production of pig iron or steel,24,Sweden,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,14.0
SE,2020.0,All sizes,39174.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,Sweden,2. Verified emissions,all entities,3.0
SE,2020.0,All sizes,154696.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,Sweden,2.1 EU-ETS Verified Emission,all entities,1.0
