"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2018","372.00","372.00","372.00","372.00","0.05K","0.68%"
"01/05/2018","369.50","369.50","369.50","369.50","0.32K","0.68%"
"01/04/2018","367.00","367.00","367.00","367.00","0.16K","0.00%"
"01/03/2018","367.00","367.00","367.00","367.00","","0.00%"
"01/02/2018","367.00","367.00","367.00","367.00","","3.31%"
"12/29/2017","355.24","355.24","355.24","355.24","","0.92%"
"12/28/2017","352.00","352.00","352.00","352.00","","0.00%"
"12/27/2017","352.00","352.00","352.00","352.00","","0.00%"
"12/22/2017","352.00","352.00","352.00","352.00","","0.00%"
"12/21/2017","352.00","352.00","352.00","352.00","","0.00%"
"12/20/2017","352.00","352.00","352.00","352.00","0.01K","0.28%"
"12/19/2017","351.00","351.00","351.00","351.00","0.01K","0.57%"
"12/18/2017","349.00","349.00","349.00","349.00","0.00K","-2.10%"
"12/15/2017","356.50","356.50","356.50","356.50","","0.71%"
"12/14/2017","354.00","354.00","354.00","354.00","","0.00%"
"12/13/2017","354.00","354.00","354.00","354.00","","0.00%"
"12/12/2017","354.00","354.00","354.00","354.00","","0.00%"
"12/11/2017","354.00","354.00","354.00","354.00","0.14K","0.28%"
"12/08/2017","353.00","353.00","353.00","353.00","0.48K","0.57%"
"12/07/2017","351.00","351.00","351.00","351.00","0.23K","0.86%"
"12/06/2017","348.00","348.00","348.00","348.00","0.86K","1.16%"
"12/05/2017","344.00","344.00","344.00","344.00","0.31K","0.73%"
"12/04/2017","341.50","341.50","341.50","341.50","","0.00%"
"12/01/2017","341.50","341.50","341.50","341.50","0.47K","0.00%"
"11/30/2017","341.50","341.50","341.50","341.50","0.11K","9.28%"
"11/29/2017","312.50","312.50","312.50","312.50","","0.00%"
"11/28/2017","312.50","312.50","312.50","312.50","","0.00%"
"11/27/2017","312.50","312.50","312.50","312.50","0.15K","0.16%"
"11/24/2017","312.00","312.00","312.00","312.00","","0.00%"
"11/23/2017","312.00","312.00","312.00","312.00","","0.00%"
"11/22/2017","312.00","312.00","312.00","312.00","","0.00%"
"11/21/2017","312.00","312.00","312.00","312.00","0.00K","0.00%"
"11/20/2017","312.00","312.00","312.00","312.00","0.07K","-0.95%"
"11/17/2017","315.00","315.00","315.00","315.00","0.00K","0.00%"
"11/16/2017","315.00","315.00","315.00","315.00","0.73K","0.64%"
"11/15/2017","313.00","313.00","313.00","313.00","0.55K","0.97%"
"11/14/2017","310.00","310.00","310.00","310.00","0.10K","0.00%"
"11/13/2017","310.00","310.00","310.00","310.00","","0.00%"
"11/10/2017","310.00","310.00","310.00","310.00","0.62K","-0.64%"
"11/09/2017","312.00","312.00","312.00","312.00","2.48K","-1.27%"
"11/08/2017","316.00","316.00","316.00","316.00","0.60K","-0.47%"
"11/07/2017","317.50","317.50","317.50","317.50","0.75K","-0.78%"
"11/06/2017","320.00","320.00","320.00","320.00","0.70K","0.00%"
"11/03/2017","320.00","320.00","320.00","320.00","0.85K","-1.23%"
"11/02/2017","324.00","324.00","324.00","324.00","0.14K","1.57%"
"11/01/2017","319.00","319.00","319.00","319.00","0.71K","-0.31%"
"10/31/2017","320.00","320.00","320.00","320.00","0.64K","1.59%"
"10/30/2017","315.00","315.00","315.00","315.00","0.39K","0.00%"
"10/27/2017","315.00","315.00","315.00","315.00","0.31K","1.29%"
"10/26/2017","311.00","311.00","311.00","311.00","0.24K","1.97%"
"10/25/2017","305.00","305.00","305.00","305.00","0.00K","-0.16%"
"10/24/2017","305.50","305.50","305.50","305.50","","0.00%"
"10/23/2017","305.50","305.50","305.50","305.50","0.16K","0.16%"
"10/20/2017","305.00","305.00","305.00","305.00","","0.00%"
"10/19/2017","305.00","305.00","305.00","305.00","0.01K","-0.33%"
"10/18/2017","306.00","306.00","306.00","306.00","0.00K","-1.61%"
"10/17/2017","311.00","311.00","311.00","311.00","","0.00%"
"10/16/2017","311.00","311.00","311.00","311.00","0.86K","0.65%"
